"","location","gamma","z0","L","deposition"
"1",1,0.1,0.001,-1,0.014801629837783
"2",1,0.4,1.98218082797576,-489.548990792602,0.0142622585441198
"3",1,0.106026886910552,1.97626003688834,-500,0.0187408117097677
"4",1,0.106109310489888,0.0172277821404883,-495.837492031733,0.0135412981034913
"5",1,0.4,0.00507484599093432,-500,0.00656520868257518
"6",1,0.396890107003529,2,-1,0.122706441762211
"7",1,0.4,0.0411877903260842,-4.01837494308512,0.0318469360297389
"8",1,0.1,2,-1,0.130283096135534
"9",1,0.270918861495852,1.34784022066477,-427.8403351646,0.0148524638782393
"10",1,0.322152532548479,1.0128715639535,-23.6368648849427,0.0452140660085275
"11",1,0.163649858515057,1.00034159074585,-89.5880163353766,0.0273759771145616
"12",1,0.248618594912892,0.001,-122.382821492023,0.00967725617784839
"13",1,0.394560412076494,0.683680392047233,-278.175419722188,0.0118587015224252
"14",1,0.253664879284403,0.168515878139983,-388.391882789477,0.0093892130220359
