"","sensor","kernel","gamma","z0","zi","L","zcut"
"1",1,"gauss",0.162679401744357,0.246504980177982,0.200528521803836,0.729979688138073,0.17920460701217
"2",1,"exp",0.0133964621928552,0.0987228459446208,0.0334800312691676,0.818211891491521,0.0174667309072487
"3",1,"matern5_2",0.113753737603004,0.18905265029096,0.151872955386805,0.677427063849208,0.155058175292415
"4",1,"matern3_2",0.0750596841005202,0.187273889944269,0.115278169485443,0.66048451861237,0.0988577948521451
"5",1,"powexp",-0.0453522880348218,0.0649072103678493,-0.0739483421407809,0.571229750256776,-0.0657113463415083
"6",2,"gauss",-0.00205339161603328,0.0764909279359567,0.0380961456745122,0.710750649583246,0.0139826296762447
"7",2,"exp",0.134343096097644,0.217617949779084,0.127150490425155,0.782756204703386,0.147993511840997
"8",2,"matern5_2",0.0992444796546682,0.172630464824659,0.151810320728087,0.665602069159356,0.149789534936252
"9",2,"matern3_2",-0.0735816824703576,0.0608783129350894,-0.0643587699134432,0.621454165902101,-0.0685292375734444
"10",2,"powexp",0.0990975119151599,0.198513825040797,0.147901811680389,0.672891525151598,0.155484197216582
"11",3,"gauss",0.138091531425056,0.122664803903113,0.211872934160964,0.683826687740919,0.126910126916079
"12",3,"exp",-0.0462237195601119,0.134725800978182,-0.046103878070531,0.751785895180281,-0.0236543250468702
"13",3,"matern5_2",0.18188497420929,0.324683798058761,0.173368088435872,0.640127515293627,0.193038509202507
"14",3,"matern3_2",-0.0547287180616018,0.143633510087457,-0.0836168100563308,0.530530096478326,-0.0449543126818035
"15",3,"powexp",-0.109019099486527,0.0289400048556812,-0.060764128347417,0.69811775747457,-0.0775969671244877
"16",4,"gauss",0.0972466861420892,0.240495795783264,0.111199898934393,0.659513003698922,0.124035852682386
"17",4,"exp",0.166205458871753,0.207304938373309,0.157313274284171,0.803781130726056,0.191607353800182
"18",4,"matern5_2",-0.0185041822076129,0.0549429431270624,-0.080215467940064,0.705971096411803,-0.0302422397730234
"19",4,"matern3_2",0.070461358032765,0.135827856609755,0.0672347923511819,0.756031035722149,0.121024318015963
"20",4,"powexp",0.0654942383825279,0.141418711577722,0.103078910167417,0.61981840485457,0.130563023876161
"21",5,"gauss",-0.115923163848777,0.0580561002055768,-0.108250972081424,0.582168893245111,-0.10934849543777
"22",5,"exp",0.0444959635706593,0.141160124365164,0.0377576680310375,0.653798535367418,0.0318368525166525
"23",5,"matern5_2",0.211159141442934,0.266096539442193,0.235316474161182,0.811892190397608,0.214603082393427
"24",5,"matern3_2",0.250697935849625,0.256966143809729,0.208699264248495,0.735255808595255,0.212457847655687
"25",5,"powexp",-0.0734622656014778,0.0505818703816323,-0.0424248553094545,0.606339430909461,-0.0538849880488879
"26",6,"gauss",0.0134287621655394,0.121339114815134,0.00660684393596479,0.868195841679333,0.00471289202249572
"27",6,"exp",0.0163380207491096,0.268661984436843,0.050834817692474,0.61339944614104,0.0378928764019485
"28",6,"matern5_2",0.036123427500979,0.0624595403633363,0.0472155549408841,0.811818368021001,0.0135582394955463
"29",6,"matern3_2",0.0325566603477926,0.0822314238497006,0.010100712681372,0.673704966129417,0.036563515512888
"30",6,"powexp",0.112841866671151,0.211174595679426,0.132042443291861,0.747217882280122,0.105754070818243
"31",7,"gauss",-0.145284733483445,-0.0460145719476916,-0.114728681716246,0.658502691439196,-0.0888149542406576
"32",7,"exp",0.0311912647566752,0.120028706547773,0.0253412300929718,0.798565773024013,0.0398252488536005
"33",7,"matern5_2",-0.0047826919210999,0.0130449920135514,0.0330058114128791,0.716238989312957,0.0234776546091728
"34",7,"matern3_2",0.184756659425063,0.178943011645315,0.153359003416736,0.77998718001431,0.159488819406608
"35",7,"powexp",0.0602651271408065,0.268196868559397,0.0991428629583278,0.57422853305403,0.0537082174084861
"36",8,"gauss",0.0202355792338176,0.103720893054658,0.0291535355463202,0.782883396099234,0.0378166034934714
"37",8,"exp",0.139472267858178,0.311657098750715,0.12438280729738,0.663707341332934,0.117036931682895
"38",8,"matern5_2",0.0718651461931873,0.130102109451174,0.075187400849137,0.67747534583288,0.0759494992442174
"39",8,"matern3_2",0.210149639460679,0.275576576980336,0.151251586277333,0.680037209899206,0.164703749571776
"40",8,"powexp",0.156769016018837,0.324627244743207,0.223781501814111,0.627892255444132,0.237732167950062
"41",9,"gauss",-0.0571510283158354,0.0494261178302384,-0.00477110133882958,0.609753809828562,-0.0208336568446144
"42",9,"exp",-0.0914425242021476,0.114932593789982,-0.0663400532395128,0.785974200516493,-0.0596062879185525
"43",9,"matern5_2",0.138818703840743,0.0982190294030012,0.143118041327018,0.683401358875012,0.147708984019307
"44",9,"matern3_2",-0.0615095747584418,0.107600763035491,-0.0145953292263608,0.565027110219788,-0.0123257684071829
"45",9,"powexp",0.126624254424668,0.22871757017884,0.158457294756441,0.787599684915075,0.158220495449556
