"","sens","gamma","z0","zi","L","zcut","deposition"
"71",1,0.55118,0.3937,0.03937,0.83465,0.45669,7.58197443922159e-05
"72",1,0.55906,0.031496,0.25984,0.70079,0.77165,4.00422098872321e-05
"73",1,0.56693,0.062992,0.55118,0.055118,0.18898,0.000106199523900618
"74",1,0.5748,0.40157,0.015748,0.15748,0.34646,0.00012945175972825
"75",1,0.58268,0.6063,0.88976,0.22835,0.35433,0.000124730864046786
"76",1,0.59055,0.37008,0.93701,0.86614,0,6.75370897519419e-05
"77",1,0.59843,0.22047,0.65354,0.91339,0.75591,5.25930114081726e-05
"78",1,0.6063,0.055118,0.007874,0.85039,0.086614,3.44567492949527e-05
"79",1,0.61417,0.76378,0.77165,0.56693,0.84252,9.27658973839535e-05
"80",1,0.62205,0.49606,0.74803,0.27559,0.82677,0.000103032301029577
"81",1,0.62992,0.95276,0.3937,0.71654,0.76378,8.85850800395995e-05
"82",1,0.6378,0.38583,0.33858,0.48031,0.98425,7.44105453705458e-05
"83",1,0.64567,0.03937,0.34646,0.92913,0.31496,2.7001876799683e-05
"84",1,0.65354,0.48031,0.24409,0.031496,0.56693,0.000219405652587074
"85",1,0.66142,0.73228,0.33071,0.13386,0.92913,0.000146818996963035
"86",1,0.66929,0.15748,0.92126,0.41732,0.015748,5.16994782617054e-05
"87",1,0.67717,0.61417,0.19685,0.89764,0.54331,6.82570329494356e-05
"88",1,0.68504,0.74803,0.6378,0.33858,0.2126,9.99589490326631e-05
"89",1,0.69291,0.59055,0.96063,0.58268,0.99213,7.72831259728002e-05
"90",1,0.70079,0.22835,0.66142,0.70866,0.50394,4.7501220627345e-05
"91",1,0.70866,1,0.54331,0.62992,0.40945,8.52647865556495e-05
"92",1,0.71654,0.8189,0.70866,0.68504,0.51969,7.83289237961012e-05
"93",1,0.72441,0.56693,0.2126,0.93701,0.062992,6.08687572405925e-05
"94",1,0.73228,0.17323,0.73228,0.14961,0.3622,7.97206822726878e-05
"95",1,0.74016,0.12598,0.97638,0.62205,0.55118,3.59939076106592e-05
"96",1,0.74803,0.34646,0.95276,0.03937,0.62205,0.000183900957236964
"97",1,0.75591,0.97638,0.76378,0.007874,0.59055,0.000267877268307853
"98",1,0.76378,0.91339,0.48819,0.12598,0.94488,0.000145693253535536
"99",1,0.77165,0.5748,0.30709,0.070866,0.22835,0.000163936457700374
"100",1,0.77953,0.10236,0.77953,0.61417,0.47244,3.13066153293193e-05
"101",1,0.7874,0.66142,0.74016,0.74016,0.19685,6.54357987276975e-05
"102",1,0.79528,0.51969,0.62205,0.90551,0.15748,5.58103151744051e-05
"103",1,0.80315,0.35433,0.88189,0.32283,0.90551,7.05839886526995e-05
"104",1,0.81102,0.28346,0.80315,0.44882,0.52756,5.54737127371702e-05
"105",1,0.8189,0.53543,0.11024,0.51181,0.32283,6.84681003480034e-05
"106",1,0.82677,0.16535,0.16535,0.47244,0.12598,4.01456099934642e-05
"107",1,0.83465,0.50394,0.43307,0.73228,0.10236,5.69916241128536e-05
"108",1,0.84252,0.07874,0.25197,0.38583,0.67717,2.92473264948685e-05
"109",1,0.85039,0.72441,0.14173,0.30709,0.48031,9.05562648927709e-05
"110",1,0.85827,0.70866,0.055118,0.24409,0.70866,9.76772546905452e-05
"111",1,0.86614,0.086614,0.45669,0.85827,0.92126,2.20089775033884e-05
"112",1,0.87402,0.54331,0.22835,0.84252,0.97638,5.49240453373369e-05
"113",1,0.88189,0.74016,0.86614,0.28346,0.64567,9.26086520456342e-05
"114",1,0.88976,0.79528,0.81102,0.062992,0.81102,0.000168589842623898
"115",1,0.89764,0.25197,0.3622,0.25984,0.66142,6.25519239592679e-05
"116",1,0.90551,0,0.9685,0.98425,0.41732,9.03767513023167e-06
"117",1,0.91339,0.59843,0.55906,0.40945,1,7.24170372643368e-05
"118",1,0.92126,0.9685,0.69291,0.65354,0.17323,7.0129488929484e-05
"119",1,0.92913,0.85827,0.37008,0.45669,0.14961,7.7505124822e-05
"120",1,0.93701,0.88976,0.61417,0.35433,0.37008,8.53889641887904e-05
"121",1,0.94488,0.30709,0.91339,0.87402,0.29134,3.96943463194819e-05
"122",1,0.95276,0.96063,0.6063,0.99213,0.6063,5.99348863573032e-05
"123",1,0.96063,0.1811,0.47244,0.14173,0.43307,6.991846050365e-05
"124",1,0.9685,0.43307,0.62992,0.29134,0.4252,7.14567865859564e-05
"125",1,0.97638,0.27559,0.023622,0.34646,0.48819,5.39475369672738e-05
"126",1,0.98425,0.77953,0.87402,0.3937,0.055118,7.740800376566e-05
"127",1,0.99213,0.83465,0.031496,0.77165,0.33858,6.10467337351321e-05
"128",1,1,0.44882,0.29921,0.51969,0.047244,5.56629663808302e-05
"129",2,0,0.55118,0.44882,0.26772,0.25984,0.000298456566590785
"130",2,0.007874,0.25984,0.22047,0.3622,0.83465,0.000284672193193053
"131",2,0.015748,0.75591,0.26772,0.33071,0.7874,0.000293661097304991
"132",2,0.023622,0.85039,0.8189,0.6063,0.72441,0.000287718773359144
"133",2,0.031496,0.31496,0.71654,0.2126,0.62992,0.000289044793570483
"134",2,0.03937,0.68504,0.67717,0.047244,0.37795,0.000314063112844818
"135",2,0.047244,0.66929,0.11811,0.43307,0.65354,0.000288168449028453
"136",2,0.055118,0.11811,0.83465,0.77953,0.73228,0.000261073849774839
"137",2,0.062992,0.94488,0.72441,0.10236,0.40157,0.000304694800381874
"138",2,0.070866,0.29134,0.13386,0.48819,0.55906,0.000270585829951048
"139",2,0.07874,0.26772,0.07874,0.5748,0.070866,0.000269253450759536
"140",2,0.086614,0.86614,0.062992,0.69291,0.44094,0.000272351822088055
"141",2,0.094488,0.65354,0.94488,0.66929,0.85039,0.000261157731950663
"142",2,0.10236,0.44094,0.99213,0.1811,0.29921,0.000276306711700241
"143",2,0.11024,0.98425,0.50394,0.6378,0.03937,0.000260397400678746
"144",2,0.11811,0.80315,0.46457,0.37008,0.13386,0.000264791678550195
"145",2,0.12598,0.29921,0.89764,0.50394,0.8189,0.000240668068551773
"146",2,0.13386,0.47244,0.40945,0.81102,0.68504,0.000240213988915407
"147",2,0.14173,0.64567,0.10236,0.29921,0.49606,0.000252786496286222
"148",2,0.14961,0.84252,0.48031,0.88976,0.87402,0.000243664839123075
"149",2,0.15748,0.51181,0.44094,0.11024,0.66929,0.00026894035037377
"150",2,0.16535,0.6378,0.64567,0.54331,0.20472,0.000234220114535419
"151",2,0.17323,0.11024,0.51181,0.55906,0.9685,0.000209405361824151
"152",2,0.1811,0.20472,0.35433,1,0.58268,0.000198924946352231
"153",2,0.18898,0.70079,0.79528,0.96063,0.5748,0.000212917377051545
"154",2,0.19685,0.13386,0.66929,0.9685,0.031496,0.000190990814356103
"155",2,0.20472,0.77165,0.85827,0.07874,0.69291,0.000274934652213471
"156",2,0.2126,0.4252,0.51969,0.72441,0.07874,0.000196197605736864
"157",2,0.22047,0.19685,0.23622,0.25197,0.23622,0.000200182017186594
