"","sensor","kernel","gamma","z0","zi","L","zcut"
"1",1,"gauss",0.0263251909522661,0.135530012533451,0.0188940881553451,0.785848873230381,0.0113738310065171
"2",1,"exp",0.0338182682718331,0.216589620320508,0.0223030129247586,0.651462250728326,0.0186148012755012
"3",1,"matern5_2",-0.0023784779300971,0.161616621168298,0.0491864832819571,0.678143042963011,0.0484866351742363
"4",1,"matern3_2",0.0206687465090371,0.278161515161031,0.0438186258654278,0.693218770937356,0.067776533025109
"5",1,"powexp",-0.0222047437901308,0.256003672681014,0.0174523617747673,0.609551680269666,-0.0212259236903492
"6",2,"gauss",-0.0866885793111845,0.0430273688948477,-0.100437535634683,0.775994479056196,-0.110633238045959
"7",2,"exp",0.088985555125536,0.133756787227791,0.0470956508840081,0.858948418305002,0.0876724921293753
"8",2,"matern5_2",0.0635674612069186,0.123352320796591,0.100682537856272,0.839993011167735,0.0787225799031439
"9",2,"matern3_2",-0.0638874867135032,0.174190547601714,-0.0602850710557056,0.705998684611619,-0.0751894574761433
"10",2,"powexp",0.123283500873652,0.19978130726329,0.0710352303262717,0.676073122500461,0.0765685659647812
"11",3,"gauss",-0.0561656094955797,0.200233239529552,-0.0352629688466438,0.635246304368879,-0.0415810202961406
"12",3,"exp",0.0802126423378942,0.239090310750671,0.0841774469770637,0.823240671207883,0.102012822385408
"13",3,"matern5_2",-0.120444072980485,0.0698982922432381,-0.149454307216256,0.648210168135456,-0.109612132586218
"14",3,"matern3_2",-0.0162085702366448,0.182162698643795,0.0262594924400431,0.659443210626833,-0.0194922342449836
"15",3,"powexp",0.0720616727593096,0.329834622448124,0.13984918656859,0.651022915695388,0.147382616963908
"16",4,"gauss",-0.0145282054406745,0.0697401742555085,0.0120988251814778,0.66419060810214,-0.0349183799801724
"17",4,"exp",0.0547040163573437,0.251126751049636,0.0553655462793021,0.650243459323873,0.0792992083361025
"18",4,"matern5_2",-0.0884393077985944,0.0939590204724118,-0.0798798783617186,0.678086956568201,-0.0376386402094212
"19",4,"matern3_2",0.0192395496361734,0.149728298025767,0.00123468021202219,0.76709194847154,-0.00640352081172032
"20",4,"powexp",-0.309887201575724,0.161389457379032,-0.25765775944233,0.3328668837256,-0.224228954341426
"21",5,"gauss",0.173284419328604,0.292308524110677,0.171012748399208,0.772395005154366,0.14912411889277
"22",5,"exp",0.196973899341956,0.366154978986101,0.187480646392298,0.723729083061044,0.203077259422748
"23",5,"matern5_2",-0.0159945017598175,0.215812450751218,0.0157378390352645,0.660947213555638,0.000706862865024708
"24",5,"matern3_2",0.150988823963698,0.466736451662678,0.159185761267243,0.565724753751798,0.174997983310454
"25",5,"powexp",0.00567341314382085,0.167850038560683,0.0332570154803999,0.704591027372472,0.0194391348574019
"26",6,"gauss",0.0446045982612296,0.173966302312527,0.0572753255980402,0.80501415824661,0.0196016300010978
"27",6,"exp",0.00321253029478737,0.145898543793211,0.0487139357935668,0.748410370440261,0.0386337810412029
"28",6,"matern5_2",0.116625024500416,0.243641981231501,0.0945498922752668,0.744860055049301,0.0854599384928077
"29",6,"matern3_2",-0.152296792534253,0.0927229973494067,-0.139692144795071,0.605656337766069,-0.125011312729215
"30",6,"powexp",0.0598925000257899,0.177875425981621,0.113248696477028,0.773546386879084,0.122605241087059
"31",7,"gauss",0.0809315893178713,0.240937436671237,0.0951459324224051,0.602870564743605,0.117066937768074
"32",7,"exp",-0.102453179568301,0.134087749132687,-0.0973533007178462,0.598509966880293,-0.0788644772329311
"33",7,"matern5_2",0.122116402153292,0.299546642203927,0.135367725520798,0.566942335656168,0.0814773852085216
"34",7,"matern3_2",-0.0585042688837475,0.00959738288317149,-0.0952447443894008,0.830173080196567,-0.0730575514513184
"35",7,"powexp",-0.091381537257139,0.109055037530277,-0.013263073182141,0.699276360565833,-0.0321964834215971
"36",8,"gauss",0.0257494925185464,0.175336891861843,0.000974222140521031,0.694099163886538,0.0220310758342567
"37",8,"exp",-0.0630640192348669,0.236539814286493,-0.0611130872572406,0.557385530373227,-0.0613831367415326
"38",8,"matern5_2",-0.0213009440064319,0.133343928576933,-0.0312248420994338,0.66618460062039,-0.0313737210948191
"39",8,"matern3_2",-0.165715042141483,0.163254062804925,-0.159365044393857,0.663817617696455,-0.168553246069362
"40",8,"powexp",-0.101236589792526,0.119172072705344,-0.104833044183193,0.591527776744628,-0.124133602964147
"41",9,"gauss",0.0440372766716973,0.180319031190734,0.0474635826807973,0.768814489534645,0.0574934983464521
"42",9,"exp",0.0772833502945008,0.162746719834054,0.0670905829377235,0.740375751851033,0.0779223121181811
"43",9,"matern5_2",0.153902113651575,0.364875794159696,0.0971705238202898,0.578048704937087,0.0983394102169964
"44",9,"matern3_2",0.0136155630070421,0.131596113518667,0.00395163168716424,0.760355293710815,0.0299396676424456
"45",9,"powexp",0.0665844939010962,0.301564682571672,0.140982142025206,0.652555681369904,0.113289674990327
