"","sensor","kernel","gamma","z0","zi","L","zcut"
"1",1,"gauss",-0.0779947263456757,-0.069141196984069,-0.174912636033473,0.805309596507146,-0.0743719927801111
"2",1,"exp",0.0601692965279246,0.121718317894651,0.0957456662047761,0.94040398091257,0.107677552473537
"3",1,"matern5_2",-0.013597460369153,0.00297247202639143,0.0866704936341809,0.459469526133382,0.032287111719984
"4",1,"matern3_2",0.00425852591242221,-0.0195752085568377,-0.00554933329292837,0.87724214519785,-0.0109896845039893
"5",1,"powexp",-0.102932770539414,0.0802277593505666,-0.091801322580363,0.572739495712589,-0.102459566719917
"6",2,"gauss",-0.00700283567124521,0.144240808937651,-0.0474543766085139,0.769687689541768,-0.03529026121365
"7",2,"exp",-0.084808683582391,-0.00529229753696862,-0.0764251587987017,0.69742204380583,-0.0601292001457158
"8",2,"matern5_2",0.125666728122508,0.177016230511646,0.204862091174205,0.624166716574844,0.175123601553307
"9",2,"matern3_2",0.0642832158522612,0.239359355655294,0.0670982477112687,0.785390921299109,0.107423148030487
"10",2,"powexp",-0.0279523446292915,0.00544669596376804,-0.00361434376600707,0.763397542182254,-0.0336799224873108
"11",3,"gauss",0.181102473480292,0.252561323074767,0.130319817408613,0.848459294295952,0.197500396933407
"12",3,"exp",-0.0291043554699902,0.0630195422151099,-0.0135709755748343,0.817177402189149,0.00100764945224962
"13",3,"matern5_2",-0.0717236996571708,0.0201007977487143,-0.0580091445159392,0.758289740609358,-0.0585708550085626
"14",3,"matern3_2",-0.00894896729813457,0.0355064045117266,-0.0320541916146123,0.865738579002876,-0.0250529787193572
"15",3,"powexp",0.159074529089861,0.332596851700984,0.145718804869971,0.665907972865093,0.139966434929588
"16",4,"gauss",-0.185635938306529,0.0299001054023147,-0.124002497091921,0.742615794920424,-0.160150879734586
"17",4,"exp",-0.168325583761848,0.142626453582111,-0.0162497807851915,0.389987835756357,-0.0230715103681803
"18",4,"matern5_2",-0.0624816714243515,0.0130533428874582,-0.0602251093641019,0.813134938426544,-0.0522433055045945
"19",4,"matern3_2",-0.0502487611237025,0.0869634804030496,-0.0680021685416252,0.480073854262043,-0.0851036500568939
"20",4,"powexp",0.0446574453244395,0.109602340233619,0.0367267773998881,0.864881839535977,-0.000487729666803061
"21",5,"gauss",-0.0741173679112197,-0.0045943766719015,-0.0782123269107368,0.773341338220911,-0.0653745751939387
"22",5,"exp",-0.0404445517890265,0.0385591411642443,-0.042297876106881,0.661995106676352,-0.0406798453864354
"23",5,"matern5_2",0.0964387403928972,0.186508178951859,0.104593495078337,0.881527995879599,0.0819201843134559
"24",5,"matern3_2",-0.00243269617357596,0.105846146719861,-0.00289477890653337,0.822250336390854,-0.00578334668554271
"25",5,"powexp",0.00628019696778682,0.0901633741219482,0.0574717318409293,0.922607605475955,0.0366583901887814
"26",6,"gauss",0.0754283418046384,0.11401373770638,0.0955012035228622,0.795945077445537,0.0950999861758022
"27",6,"exp",0.143452040145477,0.176288205697736,0.121995831536987,0.761395255808895,0.10146413196178
"28",6,"matern5_2",0.0842946753986907,0.104673739120681,0.0329634718519692,0.876393141407389,0.00431831815203358
"29",6,"matern3_2",0.0507619850099874,0.144465049752381,0.0245933227648893,0.797081082688904,0.030677423211319
"30",6,"powexp",-0.0344489078606511,0.158485367127872,-0.0429171379007542,0.634338777135263,-0.0404775181687703
"31",7,"gauss",-0.0252264926000347,0.0119219929722984,-0.0164404573804147,0.829650773866704,-0.0344685134443568
"32",7,"exp",0.143199190610801,0.251590249937849,0.175198578162049,0.744290060726682,0.202125234391713
"33",7,"matern5_2",-0.079417377382951,0.0458043820450372,-0.0815713286664829,0.735720354439484,-0.0656359727461416
"34",7,"matern3_2",0.19990020630686,0.474161315298169,0.224554905659865,0.651903075585178,0.221867809251526
"35",7,"powexp",-0.0428348118297335,0.0481995458653412,-0.0459387085225054,0.709878845922493,-0.0251602076367463
"36",8,"gauss",0.101849014395551,0.183470667025065,0.17306801551015,0.534656615626298,0.23147435578945
"37",8,"exp",-0.0239740412604087,0.050158277783788,-0.0275951355934607,0.826140155774846,-0.0247703285041158
"38",8,"matern5_2",-0.092424521460113,0.161001677061228,-0.0826170245778857,0.597628408132255,-0.113299068596282
"39",8,"matern3_2",-0.0880651353395802,0.154666447530485,-0.049344060833266,0.390535731833547,-0.0633415330853939
"40",8,"powexp",0.0911970219284237,0.15576116515417,0.0450039684655268,0.788725602762651,0.0775585970592293
"41",9,"gauss",-0.0159987621666256,0.127276586926078,-0.0236140026522589,0.712750630174008,-0.0129802956200653
"42",9,"exp",0.0271218096820134,0.0646422594788889,0.0319903538790538,0.815232615590154,0.0382780016343566
"43",9,"matern5_2",0.277487279638193,0.372247924806405,0.321424786085577,0.757235453443347,0.266195761097817
"44",9,"matern3_2",0.0390004530824517,0.452049535281059,0.0983661446025833,0.459722791983575,0.11428188811686
"45",9,"powexp",-0.0939468254753164,-0.0453542115184809,-0.0709679605472795,0.77296881416301,-0.0687063805678353
